date,open,high,low,close
2019-09-08 17:00:00,10000.0,10000.0,10000.0,10000.0
2019-09-08 18:00:00,10000.0,10000.0,10000.0,10000.0
2019-09-08 19:00:00,10344.77,10357.53,10337.43,10340.12
2019-09-08 20:00:00,10340.12,10368.64,10334.54,10351.42
2019-09-08 21:00:00,10351.42,10391.9,10324.77,10391.9
2019-09-08 22:00:00,10392.59,10412.65,10375.58,10375.58
2019-09-08 23:00:00,10375.58,10392.25,10366.57,10391.63
2019-09-09 00:00:00,10391.63,10391.63,10391.63,10391.63
2019-09-09 01:00:00,10391.63,10391.63,10391.63,10391.63
2019-09-09 02:00:00,10316.62,10316.65,10294.29,10296.04
2019-09-09 03:00:00,10295.81,10316.68,10267.37,10297.89
2019-09-09 04:00:00,10297.89,10316.33,10251.51,10316.3
2019-09-09 05:00:00,10316.3,10316.34,10299.8,10304.32
2019-09-09 06:00:00,10304.32,10305.51,10252.36,10256.09
2019-09-09 07:00:00,10260.16,10273.71,10092.71,10149.47
2019-09-09 08:00:00,10149.47,10170.74,10077.22,10147.84
2019-09-09 09:00:00,10147.84,10267.74,10143.68,10248.89
2019-09-09 10:00:00,10249.57,10256.18,10196.76,10253.25
2019-09-09 11:00:00,10247.69,10475.54,10222.75,10414.6
2019-09-09 12:00:00,10411.7,10411.7,10349.89,10356.75
2019-09-09 13:00:00,10356.61,10389.12,10317.61,10322.37
2019-09-09 14:00:00,10327.06,10363.82,10302.69,10337.55
2019-09-09 15:00:00,10333.86,10363.66,10308.84,10314.26
2019-09-09 16:00:00,10314.26,10333.55,10183.31,10255.44
2019-09-09 17:00:00,10253.31,10296.3,10235.3,10263.33
2019-09-09 18:00:00,10261.38,10288.82,10250.56,10255.58
2019-09-09 19:00:00,10255.58,10323.13,10237.17,10308.87
2019-09-09 20:00:00,10307.8,10420.65,10228.28,10233.85
2019-09-09 21:00:00,10229.48,10343.79,10229.48,10289.48
2019-09-09 22:00:00,10289.48,10358.69,10289.48,10358.69
2019-09-09 23:00:00,10347.5,10382.64,10304.8,10307.0
2019-09-10 00:00:00,10307.0,10373.14,10307.0,10338.61
2019-09-10 01:00:00,10336.92,10382.97,10328.53,10328.53
2019-09-10 02:00:00,10328.04,10356.14,10281.43,10281.43
2019-09-10 03:00:00,10285.58,10320.45,10266.61,10307.25
